preco;tamanho (m²);qtd_quartos;qtd_banheiros;qtd_vagas_garagem;bairro;endereco
590000.0;55.0;2;2.0;2;Buritis;Rua Sílvio Menicucci
360000.0;95.0;3;2.0;1;Rio Branco;Rua Artur Flávio
753990.0;60.0;2;2.0;1;Coração de Jesus;Rua Professor Otto Cirne
430000.0;87.0;2;2.0;1;Penha;Rua Sônia
549000.0;97.0;3;2.0;1;Castelo;Avenida Altamiro Avelino Soares
1200000.0;176.0;4;5.0;3;Liberdade;Rua Antônio Paulino de Castro
650000.0;99.0;3;2.0;2;Planalto;Rua Josué Azevedo
650000.0;59.0;2;2.0;2;Nova Suíssa;Rua Helianto
880000.0;64.0;2;1.0;1;Centro;Rua dos Guajajaras
1090000.0;165.0;4;2.0;3;Itapoã;Rua Professor Ricardo Pinto
702200.0;80.0;3;2.0;2;Renascença;Rua Tefé
600000.0;67.0;2;1.0;2;Castelo;Rua Castelo de Abrantes
578300.0;73.0;3;1.0;2;João Pinheiro;Rua Mariano Procópio
944800.0;85.0;3;4.0;2;Padre Eustáquio;Rua Progresso
1000000.0;157.0;3;2.0;3;Liberdade;Rua Vital Brasil
385000.0;62.0;2;1.0;1;São Gabriel;Rua Pedra Lavrada
740000.0;80.0;3;2.0;2;Buritis;Avenida Deputado Cristóvam Chiaradia
1000000.0;160.0;4;3.0;1;Santa Lúcia;Rua Sagitário
399000.0;53.0;2;1.0;1;São João Batista;Rua Augusto Franco
459000.0;60.0;2;2.0;1;Serrano;Rua Jornalista Geraldo Resende
1113970.0;101.0;3;3.0;2;Sion;Rua Haiti
240000.0;45.0;2;1.0;1;Estrela do Oriente;Rua Waldemar Correia de Almeida
1010000.0;135.0;4;4.0;4;Ouro Preto;Rua Desembargador Paulo Mota
429000.0;53.0;2;2.0;1;Santa Branca;Rua Montese
890000.0;274.0;4;3.0;5;Vila Cloris;Rua das Fragatas
650000.0;140.0;3;2.0;1;Cachoeirinha;Rua Cônego Santana
700000.0;64.0;2;2.0;2;Prado;Rua Cura D'Ars
499000.0;45.0;2;1.0;2;Santa Terezinha;Rua Conceição da Aparecida
659000.0;80.0;3;2.0;2;Castelo;Rua Desembargador José Satyro
1200000.0;140.0;4;3.0;2;Sion;Rua da Groenlândia
600000.0;55.0;2;2.0;2;Buritis;Rua Sílvio Menicucci
580000.0;75.0;3;1.0;2;Santa Amélia;Rua Deputado Salim Nacur
521100.0;70.0;3;2.0;2;João Pinheiro;Rua Mariano Procópio
698671.0;70.0;3;1.0;2;Coração Eucarístico;Rua Dom João Antônio dos Santos
850000.0;106.0;4;3.0;2;Silveira;Rua Ilacir Pereira Lima
480000.0;38.0;1;1.0;0;Buritis;Rua Geraldo Lúcio Vasconcelos
1047000.0;93.0;2;3.0;2;Pampulha;Rua dos Aeroviários
1990446.0;107.0;2;3.0;2;Lourdes;Rua Espírito Santo
590000.0;80.0;3;2.0;1;Paquetá;Rua Maria Cândida de Jesus
355000.0;55.0;2;1.0;1;Sagrada Família;Rua João Gualberto Filho
375000.0;50.0;2;1.0;1;Palmeiras;Rua Antônio de Andrade Mendes
611241.0;85.0;2;2.0;2;Indaiá;Rua Boaventura
606268.0;59.0;3;2.0;2;Estoril;Rua Paulo Piedade Campos
450000.0;73.0;2;2.0;1;Planalto;Rua Senador Carneiro de Campos
1580000.0;87.0;3;2.0;3;São Pedro;Rua Cristina
790000.0;100.0;3;3.0;2;Sion;Rua Morada Nova
1400000.0;135.0;4;4.0;3;Liberdade;Rua Duarte da Costa
507000.0;75.0;3;2.0;2;Salgado Filho;Rua Campo Formoso
1990000.0;204.0;3;4.0;4;Buritis;Avenida Deputado Cristóvam Chiaradia
697500.0;65.0;2;1.0;2;Gutierrez;Rua Benjamim Jacob
815990.0;66.0;3;2.0;2;Serra;Rua Pouso Alto
1100000.0;75.0;2;2.0;1;Barro Preto;Rua Juiz de Fora
1345000.0;100.0;3;3.0;2;Lourdes;Rua Bernardo Guimarães
550000.0;68.0;2;1.0;2;Paquetá;Rua Frei Martinho Burnier
566775.0;56.0;2;2.0;1;Santa Terezinha;Avenida Heráclito Mourão de Miranda
350000.0;70.0;2;1.0;2;Santa Amélia;Avenida da Sinfonia
380000.0;93.0;3;1.0;0;Centro;Rua dos Guaranis
797000.0;99.0;3;3.0;2;Buritis;Avenida Deputado Cristóvam Chiaradia
900000.0;134.0;3;3.0;2;Itapoã;Rua Dona Queridinha
829000.0;80.0;3;3.0;2;Floresta;Rua Mucuri
451860.0;55.0;2;2.0;1;Jardim Atlântico;Rua Carlos Sá
1015000.0;80.0;3;3.0;3;Prado;Rua Nepomuceno
997000.0;155.0;4;4.0;2;Itapoã;Rua Gumercindo Couto e Silva
830000.0;86.0;3;3.0;3;Dona Clara;Rua Desembargador Fernando Bhering
420000.0;80.0;2;1.0;2;Candelária;Rua Varzelândia
1800000.0;136.0;3;4.0;2;Lourdes;Rua São Paulo
535000.0;95.0;3;2.0;1;Calafate;Rua Aristóteles Caldeira
495000.0;95.0;3;3.0;1;Paquetá;Rua Glauber Rocha
1350671.0;125.0;3;2.0;3;Palmares;Rua Joaquim Ribeiro Costa
700000.0;57.0;2;2.0;2;São Bento;Avenida Raja Gabaglia
1349999.0;113.0;3;2.0;2;Castelo;Rua Castelo de Edimburgo
390000.0;57.0;3;2.0;1;Castelo;Rua Doutor Fernando Scarpelli
988000.0;83.0;3;3.0;2;Graça;Rua Juruá
350000.0;50.0;2;1.0;2;Concórdia;Rua Itapeva
850000.0;108.0;4;2.0;2;Pampulha;Rua dos Aeroviários
750000.0;85.0;3;3.0;1;Santo Antônio;Rua Nunes Vieira
280000.0;45.0;2;1.0;0;Lagoinha;Rua Itabira
415000.0;49.0;2;1.0;1;Castelo;Avenida Miguel Perrela
