preco;tamanho (m²);qtd_quartos;qtd_banheiros;qtd_vagas_garagem;bairro;endereco;bairro_tratada;bairro_mais_barato;bairro_norm;endereco_norm;latitude;longitude;CEP_opencage
1550000.0;87.0;3;2.0;3;Gutierrez;Rua Almirante Alexandrino;Gutierrez;0;gutierrez;rua almirante alexandrino;-19.9374477;-43.9573884;30441-028
560000.0;83.0;3;3.0;2;Ouro Preto;Rua Desembargador Paulo Mota;Ouro Preto;0;ouro preto;rua desembargador paulo mota;-19.8844311;-43.9827441;31320-262
750000.0;160.0;3;2.0;2;Santa Mônica;Rua Olavo Bilac;Santa Mônica;0;santa monica;rua olavo bilac;-19.8206322;-43.9725148;31520-400
490000.0;83.0;3;3.0;2;Paquetá;Rua Maria Cândida de Jesus;Paquetá;0;paqueta;rua maria candida de jesus;-19.8709021;-43.9932637;31340-000
1397568.0;124.0;3;3.0;4;Santo Antônio;Rua Renato Falci;Santo Antônio;0;santo antonio;rua renato falci;-19.92083;-43.93778;30160-033
1750000.0;190.0;4;2.0;2;Lourdes;Rua Antônio Aleixo;Lourdes;0;lourdes;rua antonio aleixo;-19.9328458;-43.9464671;30160-041
410000.0;65.0;3;2.0;1;Santa Mônica;Rua Lauro Araújo Silva;Santa Mônica;0;santa monica;rua lauro araujo silva;-19.8286054;-43.9732145;31565-180
625540.0;96.0;2;2.0;2;Alto Caiçaras;Rua Hélio Lazzarotti;Alto Caiçaras;0;alto caicaras;rua helio lazzarotti;-19.8980179;-43.9777164;30750-170
750000.0;105.0;3;2.0;2;Buritis;Avenida Engenheiro Carlos Goulart;Buritis;0;buritis;avenida engenheiro carlos goulart;-19.973241;-43.961095;30455-900
499000.0;55.0;2;2.0;2;Buritis;Rua Pascoal Demartini Filho;Buritis;0;buritis;rua pascoal demartini filho;-19.92083;-43.93778;30160-033
690415.0;70.0;3;2.0;2;Indaiá;Rua Boaventura;Indaiá;0;indaia;rua boaventura;-19.8636038;-43.9547231;31270-250
365000.0;58.0;2;2.0;1;Jardim Leblon;Rua Egito;Jardim Leblon;1;jardim leblon;rua egito;-19.8252475;-43.9936401;31580-050
550000.0;140.0;3;3.0;2;São João Batista;Rua José Vieira Brandão;São João Batista;0;sao joao batista;rua jose vieira brandao;-19.8191296;-43.9710897;31520-400
695000.0;95.0;3;2.0;1;Coração de Jesus;Praça Abílio Nunes de Figueiredo;Coração de Jesus;0;coracao de jesus;praca abilio nunes de figueiredo;-19.92083;-43.93778;30160-033
950000.0;100.0;3;2.0;2;Sion;Rua do Uruguai;Sion;0;sion;rua do uruguai;-19.9492712;-43.9338242;30315-570
1095000.0;116.0;4;2.0;2;Buritis;Rua Ernani Agricola;Buritis;0;buritis;rua ernani agricola;-19.92083;-43.93778;30160-033
1500000.0;128.0;4;1.0;2;Funcionários;Rua Ceará;Funcionários;0;funcionarios;rua ceara;-19.9303979;-43.9278912;30130-131
1569204.0;77.0;2;2.0;1;Funcionários;Avenida do Contorno;Funcionários;0;funcionarios;avenida do contorno;-19.9342953;-43.9249154;30112-020
650000.0;78.0;3;3.0;2;Liberdade;Rua Boaventura;Liberdade;0;liberdade;rua boaventura;-19.8636038;-43.9547231;31270-250
419000.0;60.0;2;2.0;1;Castelo;Rua Castelo de Sintra;Castelo;0;castelo;rua castelo de sintra;-19.8784936;-44.0040732;31330-200
420000.0;62.0;3;2.0;1;Monsenhor Messias;Rua Ramos de Azevedo;Outros;0;monsenhor messias;rua ramos de azevedo;-19.9114635;-43.9779815;30720-480
450000.0;69.0;3;1.0;1;Caiçaras;Rua Sargento Robson da Cruz;Caiçaras;0;caicaras;rua sargento robson da cruz;-19.8921264;-43.9658227;30775-240
1053000.0;62.0;2;2.0;2;Centro;Rua Santa Catarina;Centro;0;centro;rua santa catarina;-19.9236654;-43.9440039;38082-049
990000.0;120.0;3;2.0;3;Gutierrez;Rua Oscar Trompowsky;Gutierrez;0;gutierrez;rua oscar trompowsky;-19.9369049;-43.9614399;30430-180
700000.0;64.0;2;3.0;2;Santa Efigênia;Rua Juiz Costa Val;Santa Efigênia;0;santa efigenia;rua juiz costa val;-19.9284206;-43.9139036;30260-250
510000.0;56.0;2;1.0;1;Dom Cabral;Avenida Edgar da Mata Machado;Outros;0;dom cabral;avenida edgar da mata machado;-19.9201706;-43.9973468;30535-901
850000.0;78.0;3;2.0;2;Buritis;Avenida Deputado Cristóvam Chiaradia;Buritis;0;buritis;avenida deputado cristovam chiaradia;-19.92083;-43.93778;30160-033
375000.0;117.0;3;3.0;1;São Lucas;Rua Cabrália;São Lucas;0;sao lucas;rua cabralia;-19.933388;-43.9169306;30240-130
1100000.0;130.0;4;1.0;3;Buritis;Rua Ernani Agricola;Buritis;0;buritis;rua ernani agricola;-19.92083;-43.93778;30160-033
1295000.0;200.0;4;5.0;4;Liberdade;Rua Doutor Teles;Liberdade;0;liberdade;rua doutor teles;-19.8610634;-43.9539345;31270-180
900000.0;150.0;2;2.0;0;Carlos Prates;Avenida Dom Pedro II;Carlos Prates;0;carlos prates;avenida dom pedro ii;-19.909953;-43.9562861;30710-010
494500.0;75.0;3;2.0;2;Salgado Filho;Rua Campina Verde;Salgado Filho;0;salgado filho;rua campina verde;-19.943841;-43.9856188;30550-000
559900.0;53.0;2;2.0;1;Pampulha;Rua General Aranha;Pampulha;0;pampulha;rua general aranha;-19.8573026;-43.9544918;31270-310
320000.0;60.0;3;1.0;1;Jardim Leblon;Rua Humberto de Campos;Jardim Leblon;1;jardim leblon;rua humberto de campos;-19.8301044;-43.987464;31540-360
1800000.0;160.0;4;3.0;2;Santo Agostinho;Rua Gonçalves Dias;Santo Agostinho;0;santo agostinho;rua goncalves dias;-19.9282659;-43.9493284;30190-130
1100000.0;71.0;2;2.0;2;Sion;Rua La Plata;Sion;0;sion;rua la plata;-19.9542311;-43.9327588;30315-550
595000.0;80.0;3;2.0;2;Palmares;Rua Jorge Angel Livraga;Palmares;0;palmares;rua jorge angel livraga;-19.8715018;-43.9398491;31255-984
1300000.0;118.0;4;3.0;3;Buritis;Rua Tereza Mota Valadares;Buritis;0;buritis;rua tereza mota valadares;-19.9740666;-43.9720029;30575-180
612314.0;66.0;2;3.0;2;São Lucas;Rua Salutares;São Lucas;0;sao lucas;rua salutares;-19.9334131;-43.9184285;30240-130
460000.0;65.0;3;2.0;1;Caiçaras;Rua Elenir de Souza Gouvêa;Caiçaras;0;caicaras;rua elenir de souza gouvea;-19.92083;-43.93778;30160-033
420000.0;47.0;2;1.0;1;Palmeiras;Rua Senhora do Porto;Palmeiras;0;palmeiras;rua senhora do porto;-19.9722576;-43.9834489;30575-730
745000.0;80.0;3;2.0;2;União;Rua Silva Fortes;União;0;uniao;rua silva fortes;-19.8811789;-43.9272578;31160-370
850000.0;65.0;2;3.0;2;Santo Antônio;Rua Professor Arduino Bolivar;Santo Antônio;0;santo antonio;rua professor arduino bolivar;-19.9438549;-43.9459601;30350-180
639900.0;105.0;4;3.0;2;Palmares;Rua José Cleto;Palmares;0;palmares;rua jose cleto;-19.8765417;-43.931516;31160-440
1780000.0;148.0;4;4.0;3;Jaraguá;Rua Garumã;Jaraguá;0;jaragua;rua garuma;-19.8578028;-43.9530134;31270-180
550000.0;98.0;3;2.0;2;Santo Antônio;Rua Guilherme de Almeida;Santo Antônio;0;santo antonio;rua guilherme de almeida;-19.9485717;-43.9451686;30350-213
1750000.0;165.0;4;3.0;3;Lourdes;Rua Antônio Aleixo;Lourdes;0;lourdes;rua antonio aleixo;-19.9328458;-43.9464671;30160-041
560000.0;75.0;3;2.0;1;Sagrada Família;Rua Itajubá;Sagrada Família;0;sagrada familia;rua itajuba;-19.8945854;-43.9259692;31035-480
395000.0;76.0;3;1.0;2;Santa Amélia;Rua Gomes Freire;Santa Amélia;0;santa amelia;rua gomes freire;-19.8433164;-43.9828159;31555-100
900000.0;105.0;3;3.0;2;Buritis;Avenida Protásio de Oliveira Penna;Buritis;0;buritis;avenida protasio de oliveira penna;-19.9781467;-43.967773;30575-210
350000.0;72.0;3;1.0;1;Cachoeirinha;Rua Coqueiro;Cachoeirinha;0;cachoeirinha;rua coqueiro;-19.92083;-43.93778;30160-033
903088.0;102.0;3;2.0;2;Liberdade;Rua Boaventura;Liberdade;0;liberdade;rua boaventura;-19.8636038;-43.9547231;31270-250
750000.0;90.0;3;1.0;2;Colégio Batista;Rua Varginha;Colégio Batista;0;colegio batista;rua varginha;-19.9107763;-43.9363781;31110-015
705685.0;63.0;2;2.0;2;São Lucas;Rua Visconde de Taunay;São Lucas;0;sao lucas;rua visconde de taunay;-19.9291765;-43.9207078;30150-270
399000.0;54.0;2;1.0;1;Castelo;Rua Castelo de Lisboa;Castelo;0;castelo;rua castelo de lisboa;-19.8785116;-44.0012656;31330-220
1631000.0;87.0;3;3.0;2;Sion;Rua República Argentina;Sion;0;sion;rua republica argentina;-19.9547019;-43.9334068;30315-550
1914770.0;107.0;3;3.0;2;Savassi;Rua Antônio de Albuquerque;Savassi;0;savassi;rua antonio de albuquerque;-19.9372065;-43.9394673;30112-011
4500000.0;274.0;4;5.0;5;Belvedere;Rua Engenheiro Walter Kurrle;Belvedere;0;belvedere;rua engenheiro walter kurrle;-19.9772295;-43.9440843;30320-900
490000.0;79.0;3;2.0;1;Paquetá;Rua Antenor Prata;Paquetá;0;paqueta;rua antenor prata;-19.8774713;-43.9916636;31330-120
545660.0;64.0;2;2.0;2;Alto Caiçaras;Rua Hélio Lazzarotti;Alto Caiçaras;0;alto caicaras;rua helio lazzarotti;-19.8980179;-43.9777164;30750-170
280000.0;50.0;3;1.0;1;Nova Cachoeirinha;Rua Henrique Diniz;Outros;0;nova cachoeirinha;rua henrique diniz;-19.8822553;-43.9557834;31255-050
420000.0;65.0;2;2.0;1;Buritis;Rua Tereza Mota Valadares;Buritis;0;buritis;rua tereza mota valadares;-19.9740666;-43.9720029;30575-180
750000.0;53.0;2;2.0;2;Coração de Jesus;Rua Professor Otto Cirne;Coração de Jesus;0;coracao de jesus;rua professor otto cirne;-19.92083;-43.93778;30160-033
630000.0;85.0;3;2.0;2;Santa Mônica;Rua do Carmelo;Santa Mônica;0;santa monica;rua do carmelo;-19.8307541;-43.9700416;31565-180
660000.0;110.0;4;2.0;2;Cidade Nova;Rua João Arantes;Cidade Nova;0;cidade nova;rua joao arantes;-19.8863334;-43.9224839;31170-210
630000.0;100.0;2;2.0;2;Araguaia;Rua Santa Alexandrina;Araguaia;0;araguaia;rua santa alexandrina;-19.9892902;-44.0023141;30620-090
520000.0;102.0;3;2.0;1;Colégio Batista;Rua Guanhães;Colégio Batista;0;colegio batista;rua guanhaes;-19.9070824;-43.9378181;31110-150
710000.0;58.0;2;2.0;2;Serra;Rua Chefe Pereira;Serra;0;serra;rua chefe pereira;-19.9358373;-43.9213682;30240-130
1200000.0;95.0;3;2.0;2;Santo Antônio;Rua Leopoldina;Santo Antônio;0;santo antonio;rua leopoldina;-19.9432658;-43.9411115;30330-240
565000.0;80.0;2;2.0;2;Palmeiras;Rua Doutor Djalma Carneiro;Palmeiras;0;palmeiras;rua doutor djalma carneiro;-19.9696663;-43.9790852;30575-730
930000.0;100.0;2;3.0;3;Pampulha;Rua dos Aeroviários;Pampulha;0;pampulha;rua dos aeroviarios;-19.857863;-43.9568898;31270-700
440000.0;70.0;3;3.0;1;Ouro Preto;Rua Flor-de-esparódia;Ouro Preto;0;ouro preto;rua flor-de-esparodia;-19.8701068;-43.9903028;31340-000
635000.0;64.0;2;2.0;1;Buritis;Rua Eli Seabra Filho;Buritis;0;buritis;rua eli seabra filho;-19.9756214;-43.9751097;30575-740
